Moneda,Siglas,Precio,Cambio 1 h,Cambio 24 h,Cambio 7 d,Volumen en 24 horas,Cap. de mercado,FDV,Cap merc/FDV,Cluster,Grupo
StakeWise,SWISE,0.08,-0.4,-0.3,-2.7,581208,23508276,84648424,028,0,0
StrikeX,STRX,0.03,0.1,-1.8,-9.4,3772975,23439005,29170286,080,0,0
DFI.money,YFII,584.79,-0.6,-19.6,-22.3,40944243,23305025,23462156,099,0,0
Velas,VLX,0.01,-0.1,-1.4,-2.8,496986,23137225,23137225,100,0,0
Aurora,AURORA,0.07,-0.4,-3.1,0.8,507666,22989775,68712090,033,0,0
Alpaca Finance,ALPACA,0.15,1.5,0.5,-0.8,1708449,22930424,28550224,080,0,0
Hourglass,WAIT,0.23,0.2,2.8,0.4,101390,22536298,23005677,098,0,0
GuildFi,GF,0.06,0.5,-1.1,4.8,631030,22532239,60342274,037,0,0
Instadapp,INST,1.25,0.1,-0.9,-1.8,6470372,22413295,124890550,018,0,0
REI Network,REI,0.02,-0.2,0.9,1.0,4450531,22350042,23212809,096,0,0
Klever,KLV,0.0,-0.9,-2.0,-2.4,943785,22338457,24747214,090,0,0
GHO,GHO,0.97,0.1,-0.7,-1.1,1793588,22265696,22267446,100,0,0
Platypus USD,USP,0.34,0.0,0.0,0.0,0,22186336,22186336,-,0,0
EverGrow Coin,EGC,0.0,0.1,-0.3,-3.5,1592244,22077623,47494448,046,0,0
Clover Finance,CLV,0.04,-0.4,-2.2,0.9,3278137,22007364,37723369,058,0,0
Manchester City Fan Token,CITY,3.41,-0.3,0.4,1.1,7553485,21982881,68160759,032,0,0
Alpine F1 Team Fan Token,ALPINE,1.93,-0.6,-3.3,-3.6,895598,21975770,77379473,028,0,0
Kishu Inu,KISHU,0.0,-0.5,-1.5,1.1,154125,21961951,0,-,0,0
Sentinel Protocol,UPP,0.07,0.0,-2.5,-3.6,3787050,21904930,33382129,066,0,0
ONBUFF,ONIT,0.03,0.1,4.2,-1.0,1139553,21888532,22451613,097,0,0
Veno Finance,VNO,0.1,0.3,1.2,-1.7,3990076,21721647,209706989,010,0,0
Shina Inu,SHI,0.0,-0.7,-3.5,2.8,249809,21716526,30905734,070,0,0
Metahero,HERO,0.0,0.2,-4.5,-4.2,629907,21689222,27572635,079,0,0
Yuan Chain Coin,YCC,0.0,0.1,-6.8,-27.8,680,21654932,43645812,050,0,0
Stader,SD,0.75,0.1,0.1,-2.2,889241,21594005,112563250,019,0,0
Mog Coin,MOG,0.0,1.3,34.7,145.9,3556397,21566547,23229708,093,0,0
Star Atlas,ATLAS,0.0,-0.3,2.1,4.5,1594078,21552246,57966510,037,0,0
Sidus,SIDUS,0.0,-0.3,-0.8,1.6,558236,21409921,29161733,073,0,0
Petals,PTS,0.0,-0.2,-0.1,26.5,1228513,21353158,151173025,014,0,0
Goldfinch,GFI,0.38,-0.1,-0.9,-2.3,6847434,21328947,43959643,049,0,0
MXC,MXC,0.01,-0.8,0.9,3.8,774910,21290224,23279845,091,0,0
Firo,FIRO,1.67,-0.2,-1.5,-1.6,378463,21191410,35710908,059,0,0
Everdome,DOME,0.0,-0.2,2.4,-4.5,292107,21190163,97526941,022,0,0
Crust Network,CRU,0.83,0.9,1.8,1.7,684520,21120421,23951448,088,0,0
Bonfida,FIDA,0.21,0.6,-2.8,-3.3,3454665,21069461,207607290,010,0,0
Contentos,COS,0.01,-0.8,-1.6,-1.1,2209304,21062284,50208247,042,0,0
Dopex,DPX,79.96,0.2,-1.5,-9.2,434913,21015335,39938192,053,0,0
MEVFree,MEVFREE,0.37,-0.3,4.8,1.8,318924,20993778,37488889,056,0,0
Orca,ORCA,0.88,-1.1,-5.1,4.0,118547,20937678,88269869,024,0,0
Quantum Resistant Ledger,QRL,0.27,8.3,11.0,42.1,6523425,20922721,28372396,074,0,0
NuNet,NTX,0.04,-2.8,-6.0,-20.1,110501,20844613,37442190,056,0,0
VEED,VEED,0.0,-0.7,4.7,-8.3,9434381,20742986,372648046,006,0,0
district0x,DNT,0.03,0.4,2.4,1.1,487189,20701070,27556539,075,0,0
Vaiot,VAI,0.08,0.2,-4.1,-1.5,414514,20632496,30945030,067,0,0
Decentral Games,DG,0.03,-1.6,-4.4,-11.2,135154,20563740,28730928,072,0,0
UFO Gaming,UFO,0.0,-0.3,-0.4,-2.0,9193158,20561033,20561033,100,0,0
GPEX,GPX,0.32,3.7,3.5,17.8,138076,20491001,320132112,006,0,0
Saito,SAITO,0.01,-0.6,-0.8,-6.0,6371580,20392736,93609215,022,0,0
Tap,XTP,0.01,0.9,-0.7,-11.9,7541312,20366084,53914447,038,0,0
Nuls,NULS,0.2,-0.2,-2.6,-2.2,881305,20360271,41267696,049,0,0
Yield App,YLD,0.09,0.2,-3.6,0.5,344081,20354905,27501038,074,0,0
Stader ETHx,ETHX,1838.36,0.0,0.0,0.0,0,20275934,20275934,-,0,0
0x Protocol,ZRX,0.22,-0.6,-3.0,0.0,14439841,20161807,260642807,008,0,0
AdEx,ADX,0.14,-0.5,-1.3,0.5,2175271,20152713,21204821,095,0,0
ParaSwap,PSP,0.03,0.0,-0.5,-3.1,150269,20066196,53704494,037,0,0
Manifold Finance,FOLD,11.95,1.6,-3.9,-13.5,108966,19899024,23905636,083,0,0
Mango,MNGO,0.02,-0.4,-1.4,-1.0,191425,19878742,86282832,023,0,0
xExchange,MEX,0.0,-0.4,-1.7,-7.0,2018958,19865129,41291983,048,0,0
JPEG'd,JPEG,0.0,-0.4,1.4,-7.3,222817,19770950,37037952,053,0,0
PAAL AI,PAAL,0.03,0.4,3.4,58.3,734998,19758942,30354222,065,0,0
KardiaChain,KAI,0.0,0.1,-3.9,-4.5,129823,19751954,20756572,095,0,0
RAMP [OLD],RAMP,0.05,0.1,1.5,12.0,1285362,19685293,47900544,041,0,0
Serum,SRM,0.05,4.0,-26.1,-31.0,22910033,19671046,536177557,004,0,0
Thales,THALES,0.42,0.2,-0.6,-9.2,143259,19583366,42331030,046,0,0
Qredo,QRDO,0.05,-0.4,-3.4,-17.7,413104,19552236,103625097,019,0,0
Bitcicoin,BITCI,0.0,-0.1,-0.1,-0.7,1625853,19448327,254078689,008,0,0
HAVAH,HVH,0.03,0.0,0.7,30.9,423268,19425559,285181985,007,0,0
Solend,SLND,0.54,1.3,-9.2,29.1,6432366,19380876,54493147,036,0,0
Tranchess,CHESS,0.16,-0.3,4.2,9.0,5618296,19306131,46902197,041,0,0
Ternoa,CAPS,0.01,0.7,1.2,-0.4,600222,19305847,36814366,052,0,0
MAP Protocol,MAP,0.01,-0.4,-2.6,-1.2,173036,19255885,86402685,022,0,0
Maro,MARO,0.02,1.2,6.7,2.1,1425854,19248665,22009134,087,0,0
Radiant,RXD,0.0,-1.5,-7.5,-26.1,9267280,19162057,57899878,033,0,0
xSUSHI,XSUSHI,1.04,-0.5,-1.3,5.5,3935924,19115948,19115948,100,0,0
BitMart,BMX,0.11,0.1,-0.3,-1.0,1997996,19089339,96011741,020,0,0
Propy,PRO,0.33,0.1,-2.3,-4.1,330582,19061240,32922905,058,0,0
Origin Dollar,OUSD,1.0,0.0,-0.1,0.1,3113640,18994166,18994166,100,0,0
TOKPIE,TKP,0.24,-0.3,-0.4,-0.2,5672540,18908774,23846458,079,0,0
Voxies,VOXEL,0.16,-1.6,-1.0,5.1,4402639,18777523,46921164,040,0,0
